C20,x,y,tx1,tx2,tx3,tx4,wifi1,wifi2,wifi3,wifi4,wifi5,wifi6
C20,667,370,-43,-51,-41,-49,-90,-89,-91,-93,0,-95
C20,667,370,-43,-51,-41,-49,-90,-89,-91,-94,0,0
C20,667,370,-42,-50,-41,-49,-93,-90,-85,-94,0,-92
C20,667,370,-46,-50,-39,-51,-93,-88,-86,-95,0,-94
C20,667,370,-45,-50,-41,-50,-91,-88,-86,-93,0,-95
C20,667,370,-45,-49,-41,-51,-92,-89,-86,-93,0,0
C20,667,370,-45,-50,-43,-49,-91,-89,-91,-92,0,-93
C20,667,370,-44,-51,-40,-49,-88,-88,-92,-92,0,-94
C20,667,370,-43,-51,-42,-49,-95,-89,-82,-93,0,-93
C20,667,370,-43,-50,-42,-49,-91,-89,-86,-92,0,0
C20,667,370,-43,-50,-41,-49,-92,-90,-87,-93,0,0
C20,667,370,-45,-52,-42,-49,0,-90,-87,-92,0,-93
C20,667,370,-44,-51,-41,-51,0,-89,-86,0,0,-93
C20,667,370,-44,-52,-41,-49,-92,-89,-91,-94,0,0
C20,667,370,-44,-52,-41,-49,-90,-91,-92,-94,0,-92
C20,667,370,-42,-50,-41,-48,-91,-89,-92,-93,0,0
C20,667,370,-42,-51,-41,-51,-90,-89,-84,-95,0,-92
C20,667,370,-43,-51,-42,-49,-92,-89,-85,-94,0,0
C20,667,370,-44,-51,-41,-49,-90,-90,-87,-93,0,0
C20,667,370,-44,-51,-42,-49,-92,-89,-85,-93,0,-94
C20,667,370,-44,-50,-40,-49,-90,-89,-90,-92,0,0
C20,667,370,-42,-52,-41,-49,-91,-89,-86,-95,0,-94
C20,667,370,-42,-51,-41,-49,-91,-91,-86,-94,0,0
C20,667,370,-42,-50,-41,-49,-91,-89,-86,-93,0,0
C20,667,370,-43,-51,-41,-49,-91,-90,-86,-93,0,-96
C20,667,370,-43,-51,-41,-49,-89,-91,-86,-92,0,-94
C20,667,370,-44,-51,-41,-49,-91,-90,-85,-93,0,-94
C20,667,370,-44,-52,-42,-49,-92,-88,-92,0,0,-93
C20,667,370,-44,-51,-41,-48,0,-90,-93,-93,0,-96
C20,667,370,-43,-51,-41,-49,-91,-90,-94,-95,0,-93
C20,667,370,-43,-51,-42,-49,-90,-91,-92,-92,0,0
C20,667,370,-43,-51,-41,-49,-90,-89,-86,-93,0,-92
C20,667,370,-43,-51,-41,-50,-92,-88,-87,-91,0,-94
C20,667,370,-43,-51,-41,-49,-93,-88,-92,-91,0,0
C20,667,370,-43,-51,-41,-49,-90,-89,-86,-94,0,-95
C20,667,370,-43,-50,-42,-49,-91,-92,-86,-94,0,-93
C20,667,370,-42,-51,-41,-50,-92,-89,-93,-95,0,-94
C20,667,370,-41,-50,-41,-49,-91,-83,-92,-93,0,-92
C20,667,370,-42,-50,-41,-49,-88,-88,-91,-94,0,-93
C20,667,370,-42,-50,-41,-49,-92,-90,-90,-94,0,-93
C20,667,370,-45,-50,-41,-49,-91,-89,-91,-93,0,-95
C20,667,370,-43,-50,-41,-49,-90,-88,-91,-94,0,-94
C20,667,370,-42,-51,-41,-49,-93,-89,-86,-93,0,-95
C20,667,370,-42,-50,-40,-50,-90,-89,-84,-94,0,-95
C20,667,370,-42,-51,-41,-50,-90,-91,-85,-93,0,-93
C20,667,370,-43,-50,-41,-49,-90,-89,-86,-92,0,-93
C20,667,370,-42,-50,-41,-49,-94,-90,-86,-93,0,0
C20,667,370,-42,-50,-41,-50,-93,-89,-93,-94,0,-94
C20,667,370,-44,-50,-40,-50,-91,-88,-91,-92,0,-94
C20,667,370,-44,-50,-40,-49,-92,-90,-94,-95,0,-93
C20,667,370,-44,-52,-40,-49,-91,-90,-93,0,0,-94
C20,667,370,-42,-51,-43,-49,-91,-88,-92,-94,0,-92
C20,667,370,-42,-51,-41,-50,-91,-89,-91,-93,0,0
C20,667,370,-42,-50,-41,-49,-90,-89,-92,-95,0,-94
C20,667,370,-42,-50,-41,-50,-92,-86,-90,-94,0,0
C20,667,370,-43,-50,-40,-48,-89,-90,-85,-93,0,0
C20,667,370,-43,-50,-41,-49,-94,-90,-85,-96,0,0
C20,667,370,-42,-50,-41,-49,-92,-89,-93,-94,0,-92
C20,667,370,-42,-51,-41,-50,-92,-90,-86,-94,0,0
C20,667,370,-42,-51,-41,-50,-91,-89,-87,-94,0,-91
C20,667,370,-42,-51,-41,-49,-91,-89,-87,-94,0,-94
C20,667,370,-42,-50,-41,-49,-91,-90,-85,-94,0,0
C20,667,370,-43,-51,-40,-49,-92,-89,-85,0,0,-94
C20,667,370,-43,-52,-40,-49,-90,-89,-92,-92,0,-95
C20,667,370,-43,-50,-41,-49,-90,-91,-86,0,0,-95
C20,667,370,-42,-51,-41,-50,-92,-91,-86,0,0,-93
C20,667,370,-42,-50,-41,-49,-92,-88,-86,-93,0,0
C20,667,370,-42,-51,-40,-49,-92,0,-84,-94,0,0
C20,667,370,-42,-51,-41,-49,-92,-88,-94,-93,0,0
C20,667,370,-42,-51,-41,-50,-92,-88,-92,-94,0,-93
C20,667,370,-42,-51,-41,-49,-91,-89,-91,-93,0,-93
C20,667,370,-43,-50,-41,-49,-91,-88,-82,-91,0,-92
C20,667,370,-42,-51,-41,-49,-92,-91,-86,-94,0,-93
C20,667,370,-42,-52,-41,-49,-93,-88,-92,-93,0,-93
C20,667,370,-42,-50,-41,-49,-90,0,-92,-94,0,-93
C20,667,370,-42,-51,-41,-49,-92,-91,-82,-94,0,-93
C20,667,370,-42,-51,-40,-50,-90,-89,-93,-92,0,-94
C20,667,370,-42,-51,-40,-49,-92,-90,-93,-94,0,-93
C20,667,370,-43,-51,-41,-49,-91,-88,-87,-92,0,-94
C20,667,370,-43,-51,-41,-49,-92,-89,-91,-93,0,-94
C20,667,370,-42,-51,-41,-49,-90,-91,-93,-94,0,-94
C20,667,370,-41,-52,-42,-49,-89,-89,-91,-92,0,-93
C20,667,370,-42,-53,-41,-49,-92,-88,-91,-92,0,0
